name,countpar,projectpar
gray,3,
cascade,2,
dirname,2,
roi,2,
blur,1,
eh,1,
ew,1,
ex,1,
ey,1,
eye,1,
eyes,1,
face,1,
faces,1,
files,1,
png,1,
threshold,1,
color,0,
filename,0,
h,0,
im,0,
image,0,
img,0,
text,0,
w,0,
x,0,
y,0,
