name,countpar,projectpar
ix,2,
iy,2,
kana,2,
keyboard,2,
kind,2,
levelfilepath,2,
life,2,
linecolor,2,
lives,2,
living,2,
location,2,
log,2,
loop,2,
mapfilepath,2,
minesweeper,2,
minute,2,
miss,2,
my,2,
nickname,2,
not,2,
numbercard,2,
nx,2,
obj,2,
openeds,2,
operatorcard,2,
our,2,
overlap,2,
past,2,
pause,2,
perfect,2,
points,2,
power,2,
prev,2,
radius,2,
receive,2,
resources,2,
retry,2,
scale,2,
set,2,
skier,2,
snake,2,
spaces,2,
special,2,
split,2,
src,2,
success,2,
supports,2,
tangent,2,
test,2,
textcolor,2,
texts,2,
tfont,2,
thick,2,
toolbar,2,
trect,2,
TRUE,2,
trying,2,
uih,2,
ver,2,
walls,2,
warn,2,
widh,2,
window,2,
ys,2,
a,1,
ac,1,
acc,1,
aihero,1,
alive,1,
alphabet,1,
answer,1,
app,1,
aqua,1,
attack,1,
audiopaths,1,
audios,1,
auto,1,
azure,1,
ballradius,1,
before,1,
beta,1,
blk,1,
bp,1,
bracket,1,
brickheight,1,
bricks,1,
brickwidth,1,
brown,1,
btns,1,
buttonfont,1,
bx,1,
by,1,
byte,1,
cactus,1,
card,1,
cards,1,
category,1,
character,1,
chessboard,1,
chessman,1,
classification,1,
clear,1,
cloud,1,
codes,1,
coeff,1,
coins,1,
combo,1,
components,1,
controlled,1,
couldnt,1,
cx,1,
cy,1,
cycle,1,
defense,1,
detect,1,
device,1,
df,1,
dictionary,1,
diffx,1,
digits,1,
dirpath,1,
doc,1,
downlen,1,
drawer,1,
e,1,
edge,1,
email,1,
emit,1,
emoji,1,
empty,1,
encoding,1,
english,1,
exclude,1,
experience,1,
explosion,1,
extensions,1,
failed,1,
failure,1,
fast,1,
feed,1,
filled,1,
finished,1,
fire,1,
first,1,
fonts,1,
foods,1,
gamelevel,1,
gamemap,1,
gamemappaths,1,
got,1,
graph,1,
grouptypes,1,
health,1,
hepburn,1,
here,1,
hi,1,
history,1,
hitted,1,
horizontal,1,
icon,1,
ideal,1,
intro,1,
intros,1,
ip,1,
items,1,
kunrei,1,
lab,1,
layout,1,
length,1,
leveldir,1,
levelfiledir,1,
levelfilepaths,1,
levelpaths,1,
levelrootdir,1,
license,1,
lightgreen,1,
locations,1,
logits,1,
long,1,
lose,1,
lu,1,
lyx,1,
mappaths,1,
mask,1,
master,1,
matches,1,
mazesize,1,
mistyrose,1,
mixer,1,
mn,1,
model,1,
modifier,1,
mole,1,
money,1,
mx,1,
myaircraft,1,
n,1,
needed,1,
neighbour,1,
neighbours,1,
nexus,1,
nihongo,1,
no,1,
noffset,1,
noinit,1,
nopreload,1,
noselected,1,
numberfont,1,
numgrid,1,
numlevels,1,
numrandom,1,
objs,1,
one,1,
oneslist,1,
op,1,
opreatorfont,1,
opreators,1,
optimized,1,
or,1,
orig,1,
os,1,
ourhero,1,
package,1,
paddle,1,
paddleheight,1,
paddlewidth,1,
paleturquoise,1,
panel,1,
papayawhip,1,
part,1,
passed,1,
patterns,1,
percent,1,
pf,1,
phone,1,
pink,1,
play,1,
poffset,1,
port,1,
predict,1,
printout,1,
progress,1,
protected,1,
ptera,1,
pyg,1,
pygame,1,
q,1,
qt,1,
random,1,
raw,1,
rd,1,
re,1,
reason,1,
records,1,
regr,1,
relative,1,
release,1,
remianing,1,
resume,1,
romaji,1,
root,1,
rotate,1,
save,1,
saver,1,
screenblocksize,1,
sct,1,
search,1,
server,1,
sess,1,
sg,1,
shop,1,
short,1,
sizes,1,
skyblue,1,
socket,1,
source,1,
stairs,1,
static,1,
stop,1,
suffix,1,
supported,1,
surf,1,
survive,1,
syllable,1,
system,1,
templates,1,
theme,1,
thin,1,
this,1,
tle,1,
transparent,1,
ufo,1,
unit,1,
unneccesary,1,
url,1,
use,1,
velx,1,
vely,1,
wa,1,
wait,1,
xmargin,1,
xmax,1,
xmin,1,
xs,1,
xxx,1,
yes,1,
ymargin,1,
ymax,1,
ymin,1,
zone,1,
gray,0,
threshold,0,
