image,355,3.985181859003143
get,231,2.5931746744499327
to,188,2.110462505612932
output,187,2.099236641221374
format,160,1.796138302649304
of,142,1.5940727436012572
from,136,1.5267175572519085
files,129,1.4481365065110017
with,120,1.347103726986978
as,115,1.2909744050291871
file,115,1.2909744050291871
input,106,1.1899416255051638
buffered,104,1.1674898967220475
scale,102,1.1450381679389312
i,92,1.03277952402335
s,91,1.0215536596317916
set,88,0.9878760664571172
for,87,0.976650202065559
,87,0.976650202065559
given,86,0.9654243376740008
thumbnail,85,0.9541984732824428
arg,84,0.9429726088908846
orientation,83,0.9317467444993264
specified,82,0.9205208801077682
h,82,0.9205208801077682
constructor,82,0.9205208801077682
is,82,0.9205208801077682
color,79,0.8868432869330938
iterable,78,0.8756174225415356
size,76,0.8531656937584194
and,75,0.8419398293668612
create,74,0.830713964975303
source,73,0.819488100583745
images,73,0.819488100583745
value,73,0.819488100583745
rename,73,0.819488100583745
r,66,0.7409070498428378
width,65,0.7296811854512798
height,65,0.7296811854512798
resizer,65,0.7296811854512798
type,65,0.7296811854512798
test,63,0.7072294566681635
binary,61,0.6847777278850472
stream,60,0.673551863493489
grayscale,60,0.673551863493489
dir,54,0.60619667714414
ratio,54,0.60619667714414
name,53,0.5949708127525819
write,53,0.5949708127525819
filter,52,0.5837449483610238
zero,52,0.5837449483610238
no,51,0.5725190839694656
multiple,50,0.5612932195779076
two,48,0.5388414907947913
same,48,0.5388414907947913
valid,47,0.527615626403233
aspect,46,0.516389762011675
region,46,0.516389762011675
execute,46,0.516389762011675
b,44,0.4939380332285586
string,43,0.4827121688370004
watermark,43,0.4827121688370004
crop,41,0.4602604400538841
not,41,0.4602604400538841
read,41,0.4602604400538841
correct,40,0.449034575662326
g,40,0.449034575662326
then,40,0.449034575662326
streams,39,0.4378087112707678
param,36,0.4041311180960934
apply,36,0.4041311180960934
l,34,0.381679389312977
change,32,0.3592276605298607
pixel,30,0.3367759317467445
position,30,0.3367759317467445
empty,29,0.3255500673551863
u,29,0.3255500673551863
extension,29,0.3255500673551863
exif,28,0.3143242029636282
int,28,0.3143242029636282
single,28,0.3143242029636282
original,28,0.3143242029636282
negative,28,0.3143242029636282
the,27,0.30309833857207
red,26,0.2918724741805119
v,26,0.2918724741805119
blue,26,0.2918724741805119
green,26,0.2918724741805119
only,26,0.2918724741805119
key,25,0.2806466097889538
where,25,0.2806466097889538
center,25,0.2806466097889538
update,24,0.2694207453973956
than,23,0.2581948810058375
one,23,0.2581948810058375
max,23,0.2581948810058375
build,22,0.2469690166142793
non,22,0.2469690166142793
destination,22,0.2469690166142793
fill,22,0.2469690166142793
main,22,0.2469690166142793
equals,22,0.2469690166142793
hash,22,0.2469690166142793
min,22,0.2469690166142793
code,22,0.2469690166142793
calc,21,0.2357431522227211
cache,21,0.2357431522227211
disk,21,0.2357431522227211
ls,21,0.2357431522227211
hue,21,0.2357431522227211
saturation,21,0.2357431522227211
true,21,0.2357431522227211
supported,21,0.2357431522227211
using,21,0.2357431522227211
draw,21,0.2357431522227211
within,20,0.224517287831163
infinity,20,0.224517287831163
fit,20,0.224517287831163
factory,20,0.224517287831163
keep,19,0.2132914234396048
false,19,0.2132914234396048
make,18,0.2020655590480467
quality,18,0.2020655590480467
writes,18,0.2020655590480467
o,17,0.1908396946564885
alpha,17,0.1908396946564885
f,17,0.1908396946564885
filenames,17,0.1908396946564885
right,16,0.1796138302649303
different,16,0.1796138302649303
positive,16,0.1796138302649303
overwrite,16,0.1796138302649303
applies,16,0.1796138302649303
if,16,0.1796138302649303
default,16,0.1796138302649303
resize,16,0.1796138302649303
filters,16,0.1796138302649303
pixels,16,0.1796138302649303
parameter,16,0.1796138302649303
left,16,0.1796138302649303
transform,16,0.1796138302649303
by,15,0.1683879658733722
calculate,15,0.1683879658733722
check,15,0.1683879658733722
threshold,15,0.1683879658733722
contents,15,0.1683879658733722
exists,15,0.1683879658733722
are,15,0.1683879658733722
altered,15,0.1683879658733722
rect,15,0.1683879658733722
round,15,0.1683879658733722
next,14,0.1571621014818141
workaround,14,0.1571621014818141
collection,14,0.1571621014818141
use,14,0.1571621014818141
median,14,0.1571621014818141
top,14,0.1571621014818141
add,13,0.1459362370902559
thumbnails,13,0.1459362370902559
suffix,13,0.1459362370902559
prefix,13,0.1459362370902559
scaling,13,0.1459362370902559
insets,13,0.1459362370902559
dot,12,0.1347103726986978
hyphen,12,0.1347103726986978
parent,12,0.1347103726986978
auto,12,0.1347103726986978
method,12,0.1347103726986978
has,12,0.1347103726986978
preserving,12,0.1347103726986978
all,12,0.1347103726986978
gray,12,0.1347103726986978
via,12,0.1347103726986978
larger,11,0.1234845083071396
writer,11,0.1234845083071396
called,11,0.1234845083071396
values,11,0.1234845083071396
bottom,11,0.1234845083071396
truncated,10,0.1122586439155815
inputs,10,0.1122586439155815
p,10,0.1122586439155815
rounded,10,0.1122586439155815
unaffected,10,0.1122586439155815
contains,10,0.1122586439155815
mode,10,0.1122586439155815
dots,10,0.1122586439155815
flip,10,0.1122586439155815
before,10,0.1122586439155815
number,10,0.1122586439155815
invalid,10,0.1122586439155815
na,10,0.1122586439155815
n,10,0.1122586439155815
square,10,0.1122586439155815
m,10,0.1122586439155815
png,10,0.1122586439155815
jpeg,10,0.1122586439155815
mean,10,0.1122586439155815
matches,9,0.1010327795240233
remove,9,0.1010327795240233
first,9,0.1010327795240233
assert,9,0.1010327795240233
tall,9,0.1010327795240233
allow,9,0.1010327795240233
wide,9,0.1010327795240233
twice,9,0.1010327795240233
smaller,9,0.1010327795240233
