åÍãÂ,èoåªâÒêî,à»â∫ó™
this,14, first,3,player,5, ,14, second,2, current,1, board,2,pieces,1, new,3,position,1, boardsize,1,board,1, p,1, sc,1,scanner,1,system,1, in,1, name,2, piece,4,
 first,6,this,3,player,6, ,6, current,3,board,2,current,1, ?second,1,player:first,1, new,1,name,1,position,1, black,1, second,1, white,1, init,1,format,1,
player,13,this,5, first,6, ,13, second,4, current,6,board,3,opponent,2, piece,1, get,2,piece,2,position,3, black,3, ?,2,w,2,h,2,i,2,t,2,e:,2,current,1, ?second,1,player:first,1,first,1,second,1, new,1,name,1, white,1, init,1,format,1,
 ,65,this,14, first,6,player,13, second,4, current,6, board,2,pieces,2, new,6,position,5, boardsize,13,sc,1,scanner,2,system,2, in,2,board,10, i,13, j,13,playable,1,file,2,name,5, sc,5, next,4,line,2,input,3, to,2,lower,1,case,1,col,4, input,2, char,2,at,2, 'a',1,row,4, ',1,opponent,2, piece,5, get,2,piece,4, black,15, ?,2,w,2,h,2,i,2,t,2,e:,2,r,2, row,2, d,4,c,2, col,2, r,1, c,1,search,2, direction,2,flip,2, true,1,current,1, ?second,1,player:first,1,show,12,winner,12,count,12, white,13,first,1,second,1,init,2,format,3,d,1, directions,2,direction,1,pos,1, p,1,menu,2,int,2, load,1, file,1, init,1,args,1, name,2,
 second,4,this,2,player,4, ,4,board,2, current,1, new,1, first,1,name,1,position,1, black,1, white,1, init,1,format,1,
 current,6,this,1,player,6, first,3, ,6,board,2, second,1,opponent,2, piece,1, get,2,piece,2,position,2, black,2, ?,2,w,2,h,2,i,2,t,2,e:,2,current,1, ?second,1,player:first,1,
 board,2,this,2,pieces,1, new,2,position,1, boardsize,1, ,2,board,1, p,1,
pieces,2,this,1, board,1, new,2,position,2, boardsize,1, ,2,board,1, i,1, j,1,playable,1,
 new,6,this,3, board,2,pieces,2,position,3, boardsize,1, ,6,sc,1,scanner,2,system,2, in,2,board,3, i,1, j,1,playable,1, p,1, sc,1,player,1, first,1,name,1, black,1, second,1, white,1, init,1,format,1,
position,5,this,1, board,1,pieces,2, new,3, boardsize,1, ,5,board,2, i,1, j,1,playable,1,opponent,2, piece,1, current,2,player,3, get,2,piece,2, black,3, ?,2,w,2,h,2,i,2,t,2,e:,2, first,1,name,1, second,1, white,1, init,1,format,1,
 boardsize,13,this,1, board,1,pieces,1, new,1,position,1, ,13,show,12,winner,12, black,12,count,12, white,12, i,12, j,12,
sc,1, new,1,scanner,1, ,1,system,1, in,1,
scanner,2,sc,1, new,2, ,2,system,2, in,2,this,1, sc,1,
system,2,sc,1, new,2,scanner,2, ,2, in,2,this,1, sc,1,
 in,2,sc,1, new,2,scanner,2, ,2,system,2,this,1, sc,1,
board,10,pieces,1, i,1, ,10, j,1, new,3,playable,1,position,2, current,2,player,3, first,2, second,2,col,1, input,2, char,2,at,2, 'a',1,row,1, ',1,init,2,format,3,this,1, board,1, p,1, load,1, file,1,name,2, sc,1, next,1,int,1, black,1, white,1, init,1,
 i,13,board,1,pieces,1, ,13, j,13, new,1,playable,1,position,1,show,12,winner,12, black,12,count,12, white,12, boardsize,12,
 j,13,board,1,pieces,1, i,13, ,13, new,1,playable,1,position,1,show,12,winner,12, black,12,count,12, white,12, boardsize,12,
playable,1,board,1,pieces,1, i,1, ,1, j,1, new,1,position,1,
file,2,name,2, sc,1, next,1,line,1, ,2,
name,5,file,2, sc,1, next,1,line,1, ,5,board,2, load,1, file,1, new,1,player,1, first,1,position,1, black,1, second,1, white,1, init,1,format,1,
 sc,5,file,1,name,1, next,4,line,2, ,5,input,2, to,1,lower,1,case,1,this,1, new,1,scanner,1,system,1, in,1,menu,1,int,2,init,1,board,1,format,1,
 next,4,file,1,name,1, sc,4,line,2, ,4,input,2, to,1,lower,1,case,1,menu,1,int,2,init,1,board,1,format,1,
line,2,file,1,name,1, sc,2, next,2, ,2,input,1, to,1,lower,1,case,1,
input,3, sc,2, next,2,line,1, ,3, to,1,lower,1,case,1,menu,2,int,1,
 to,2,input,1, sc,1, next,1,line,1, ,2,lower,1,case,1,pos,1,flip,1,
lower,1,input,1, sc,1, next,1,line,1, ,1, to,1,case,1,
case,1,input,1, sc,1, next,1,line,1, ,1, to,1,lower,1,
col,4,board,1, input,1, char,1,at,1, ,4, 'a',1,search,1, col,1, direction,1,
 input,2,col,1,board,2, char,2,at,2, ,2, 'a',1,row,1, ',1,
 char,2,col,1,board,2, input,2,at,2, ,2, 'a',1,row,1, ',1,
at,2,col,1,board,2, input,2, char,2, ,2, 'a',1,row,1, ',1,
 'a',1,col,1,board,1, input,1, char,1,at,1, ,1,
row,4,board,1, input,1, char,1,at,1, ,4, ',1,search,1, row,1, direction,1,
 ',1,row,1,board,1, input,1, char,1,at,1, ,1,
opponent,2, piece,1, ,2, current,2,player,2, get,2,piece,2,position,2, black,2, ?,2,w,2,h,2,i,2,t,2,e:,2,
 piece,5,opponent,1, ,5, current,1,player,1, get,1,piece,1,position,1, black,1, ?,1,w,1,h,1,i,1,t,1,e:,1,this,4,
 get,2,opponent,2, piece,1, ,2, current,2,player,2,piece,2,position,2, black,2, ?,2,w,2,h,2,i,2,t,2,e:,2,
piece,4,opponent,2, piece,1, ,4, current,2,player,2, get,2,position,2, black,2, ?,2,w,2,h,2,i,2,t,2,e:,2,
 black,15,opponent,2, piece,1, ,15, current,2,player,3, get,2,piece,2,position,3, ?,2,w,2,h,2,i,2,t,2,e:,2,show,12,winner,12,count,12, white,13, i,12, j,12, boardsize,12,board,1, new,1, first,1,name,1, second,1, init,1,format,1,
 ?,2,opponent,2, piece,1, ,2, current,2,player,2, get,2,piece,2,position,2, black,2,w,2,h,2,i,2,t,2,e:,2,
w,2,opponent,2, piece,1, ,2, current,2,player,2, get,2,piece,2,position,2, black,2, ?,2,h,2,i,2,t,2,e:,2,
h,2,opponent,2, piece,1, ,2, current,2,player,2, get,2,piece,2,position,2, black,2, ?,2,w,2,i,2,t,2,e:,2,
